Date,BNS,RY,TD,RY_7D_Avg,TD_7D_Avg,BNS_7D_Avg,RY_Drop_Flag,TD_Drop_Flag,BNS_Drop_Flag
2026-04-29,75.6500015258789,175.22000122070312,104.30999755859375,,,,False,False,False
2026-04-30,77.80000305175781,179.97000122070312,107.69999694824219,,,,False,False,False
2026-05-01,78.0,179.5399932861328,107.30999755859375,,,,False,False,False
2026-05-04,76.56999969482422,177.92999267578125,106.25,,,,False,False,False
2026-05-05,76.66999816894531,178.47999572753906,105.94000244140625,,,,False,False,False
2026-05-06,78.44999694824219,181.6300048828125,108.5999984741211,,,,False,False,False
2026-05-07,78.08999633789062,181.35000610351562,107.69999694824219,179.15999930245536,106.82999856131417,77.31857081821987,False,False,False
2026-05-08,77.52999877929688,181.67999267578125,107.45999908447266,180.08285522460938,107.27999877929688,77.58714185442243,False,False,False
2026-05-11,77.04000091552734,180.85000610351562,107.08999633789062,180.2085702078683,107.19285583496094,77.47857012067523,False,False,False
2026-05-12,77.30000305175781,182.27999877929688,107.76000213623047,180.5999995640346,107.25714220319476,77.37857055664062,False,False,False
2026-05-13,76.44999694824219,179.9199981689453,106.54000091552734,180.88428606305803,107.29857090541294,77.3614273071289,False,False,False
2026-05-14,77.33000183105469,183.8300018310547,108.23999786376953,181.64857264927454,107.62714168003627,77.4557135445731,False,False,False
2026-05-15,77.08000183105469,183.39999389648438,107.63999938964844,181.90142822265625,107.48999895368304,77.25999995640346,False,False,False
2026-05-18,77.26000213623047,184.7899932861328,108.37999725341797,182.39285496303015,107.58714185442243,77.1414293561663,False,False,False
2026-05-19,77.2699966430664,183.52999877929688,107.91000366210938,182.65714154924666,107.65142822265625,77.10428619384766,False,False,False
2026-05-20,78.94999694824219,187.22000122070312,109.58000183105469,183.56714085170202,108.00714329310826,77.37714276994977,False,False,False
2026-05-21,79.43000030517578,189.17999267578125,111.11000061035156,184.55285426548548,108.48571450369698,77.68142809186664,False,False,False
2026-05-22,79.77999877929688,189.7100067138672,111.87000274658203,185.95142691476005,109.2471433367048,78.15714263916016,False,False,False
2026-05-26,80.4000015258789,189.97000122070312,112.55999755859375,186.82856968470983,109.86428615025112,78.59571402413505,False,False,False
2026-05-27,80.68000030517578,189.1300048828125,112.19999694824219,187.6471426827567,110.51571437290737,79.10999952043805,False,False,False
2026-05-28,79.79000091552734,188.88999938964844,113.33999633789062,188.23285784040178,111.22428567068917,79.47142791748047,False,False,False
2026-05-29,80.05000305175781,189.52999877929688,113.58000183105469,189.09000069754464,112.03428540910993,79.86857169015067,False,False,False
2026-06-01,78.61000061035156,188.55999755859375,110.7300033569336,189.28142874581474,112.19857134137835,79.82000078473773,False,True,False
2026-06-02,80.63999938964844,191.1300048828125,113.31999969482422,189.56000191824776,112.51428549630302,79.99285779680524,False,False,False
2026-06-03,80.26000213623047,191.0800018310547,112.36000061035156,189.7557155064174,112.58428519112724,80.06142970493862,False,False,False
2026-06-04,81.38999938964844,194.97000122070312,113.75,190.47000122070312,112.75428553989956,80.2028579711914,False,False,False
2026-06-05,80.55999755859375,194.0399932861328,113.16000366210938,191.17142813546317,112.8914293561663,80.18571472167969,False,False,False
2026-06-08,80.93000030517578,195.32000732421875,114.16999816894531,192.09000069754464,113.01000104631696,80.34857177734375,False,False,False
2026-06-09,81.69999694824219,197.88999938964844,114.63999938964844,193.28428649902344,113.16142926897321,80.58428519112724,False,False,False
2026-06-10,82.1500015258789,199.19000244140625,115.13999938964844,194.80285862513952,113.7914287022182,81.08999960763114,False,False,False
